US Economy,Citations
edmontonjournal.com,1
globalpost.com,1
wdbj7.com,1
world.time.com,1
foreignaffairs.com,1
khabaronline.ir,1
turkishweekly.net,1
economist.com,1
Obamacare,Citations
newrepublic.com,77
nytimes.com,32
washingtonpost.com,22
kff.org,17
cbo.gov,16
cnn.com,13
nymag.com,12
politifact.com,10
gpo.gov,8
bloomberg.com,8
reuters.com,7
thehill.com,7
huffingtonpost.com,6
npr.org,6
politico.com,5
usatoday.com,5
abcnews.com,5
whitehouse.gov,5
news.yahoo.com,5
cbsnews.com,5
factcheck.org,5
cms.gov,5
csmonitor.com,5
books.google.com,4
kaiserhealthnews.org,4
ehis.ebscohost.com,4
ncsl.org,4
fivethirtyeight.com,4
nypost.com,4
forbes.com,4
apha.org,4
cbpp.org,4
tnr.com,4
nbcnews.com,3
natlawreview.com,3
snopes.com,3
latimes.com,3
kaiserfamilyfoundation.files.wordpress.com,3
thinkprogress.org,3
rollcall.com,3
wonkwire.rollcall.com,3
slate.com,3
newyorker.com,3
economics.mit.edu,3
theatlantic.com,2
hhs.gov,2
salon.com,2
clerk.house.gov,2
nationalreview.com,2
finance.senate.gov,2
senate.gov,2
healthcare.gov,2
realclearpolitics.com,2
hrcbackstory.org,2
foxnews.com,2
oag.state.ok.us,2
healthaffairs.org,2
familiesusa.org,2
thomas.loc.gov,2
people-press.org,2
tldm.org,1
americandialect.org,1
commonwealthfund.org,1
mcclatchydc.com,1
healthcarereformmagazine.com,1
facts.kff.org,1
ap.org,1
medicare.gov,1
slideshare.net,1
innovations.ahrq.gov,1
c-span.com,1
spectrum.ieee.org,1
news.nationalpost.com,1
mije.org,1
justice.gov,1
aznow.biz,1
bostonglobe.com,1
stltoday.com,1
governor.vermont.gov,1
goldwaterinstitute.org,1
supremecourt.gov,1
nationalaglawcenter.org,1
cfif.org,1
sunlightfoundation.com,1
tpmdc.talkingpointsmemo.com,1
medicalrecords.com,1
nationaljournal.com,1
physorg.com,1
coloradostatesman.com,1
medscape.com,1
networkworld.com,1
rand.org,1
allheadlinenews.com,1
lifehealthpro.com,1
c-spanvideo.org,1
liberty.edu,1
cato.org,1
edlabor.house.gov,1
scotusblog.com,1
perkinsaccounting.com,1
usnews.com,1
thomasmore.org,1
healthcarereform.procon.org,1
dailycaller.com,1
americanprogress.org,1
washingtonexaminer.com,1
nursingworld.org,1
teamiha.org,1
bizjournals.com,1
investors.com,1
healthcarelawsuits.org,1
sphhs.gwu.edu,1
i2.cdn.turner.com,1
thewire.com,1
gao.gov,1
irs.gov,1
census.gov,1
swampland.time.com,1
dartmouth.edu,1
hfma.org,1
chron.com,1
theatlanticwire.com,1
nh.gov,1
taylorbenefitsinsurance.com,1
americanbar.org,1
airforcetimes.com,1
tampabay.com,1
newsmax.com,1
votesmart.org,1
radioiowa.com,1
help.senate.gov,1
theweek.com,1
naic.org,1
cleveland.com,1
treasury.gov,1
newsweek.com,1
advisory.com,1
baltimoresun.com,1
huronconsultinggroup.com,1
blog.pacificlegal.org,1
hamptonroads.com,1
economist.com,1
George Zimmerman Trial,Citations
cnn.com,69
orlandosentinel.com,58
cbsnews.com,33
abcnews.com,30
usatoday.com,28
miamiherald.com,27
nytimes.com,26
foxnews.com,24
washingtonpost.com,24
huffingtonpost.com,23
nbcnews.com,19
reuters.com,16
latimes.com,15
clickorlando.com,15
wftv.com,12
tampabay.com,12
ap.org,10
usnews.msnbc.msn.com,7
cfnews13.com,7
news.yahoo.com,5
newsfeed.time.com,5
dailycaller.com,5
youtube.com,5
npr.org,5
mediaite.com,5
motherjones.com,4
realclearpolitics.com,4
hlntv.com,4
wtsp.com,4
mysanfordherald.com,3
standard.net,3
wesh.com,3
ibtimes.com,3
thedailybeast.com,3
dailymail.co.uk,3
thegrio.com,3
nydailynews.com,3
myfoxorlando.com,3
flgov.com,2
politico.com,2
salon.com,2
wagist.com,2
wjla.com,2
gzlegalcase.com,2
nymag.com,2
theguardian.com,2
articles.chicagotribune.com,2
today.com,2
thinkprogress.org,2
bizsecurity.about.com,2
local10.com,2
suntimes.com,2
miamiherald.typepad.com,2
mediabistro.com,2
palmbeachpost.com,2
jacksonville.com,2
theblaze.com,2
blogs.chicagotribune.com,2
poynter.org,2
deadline.com,2
healthland.time.com,1
gzdocs.com,1
washingtontimes.com,1
sltrib.com,1
people-press.org,1
businessinsider.com,1
nypost.com,1
theatlantic.com,1
articles.nydailynews.com,1
westorlandonews.com,1
ign.com,1
cjr.org,1
scribd.com,1
chicagonow.com,1
m.jsonline.com,1
theroot.com,1
bostonglobe.com,1
politifact.com,1
chicagotribune.com,1
thedianerehmshow.org,1
wltz.com,1
mynews13.com,1
myfoxchicago.com,1
thenation.com,1
espn.go.com,1
huffingtonpost.ca,1
freep.com,1
bbc.co.uk,1
upi.com,1
wisn.com,1
todaystmj4.com,1
floridatoday.com,1
en.wikipedia.org,1
naplesnews.com,1
wnd.com,1
pbs.org,1
globalgrind.com,1
thesmokinggun.com,1
expertwitnessguru.com,1
news.ca.msn.com,1
english.farsnews.com,1
wptv.com,1
change.org,1
foxnewsinsider.com,1
loop21.com,1
slate.com,1
i2.cdn.turner.com,1
fbi.gov,1
video.foxnews.com,1
bloomberg.com,1
bostonherald.com,1
insightoutnews.org,1
m.newsbusters.org,1
startribune.com,1
wtam.com,1
newsmax.com,1
global.christianpost.com,1
wbtv.com,1
myfoxtampabay.com,1
digitaljournal.com,1
christianpost.com,1
baltimoresun.com,1
wdsu.com,1
csmonitor.com,1
Pope Francis,Citations
ncronline.org,22
bbc.co.uk,14
lanacion.com.ar,14
theguardian.com,13
vatican.va,11
news.va,9
huffingtonpost.com,8
nytimes.com,8
en.radiovaticana.va,8
reuters.com,7
catholicnewsagency.com,7
lifesitenews.com,7
vaticaninsider.lastampa.it,6
telegraph.co.uk,6
cnn.com,5
perfil.com,5
chiesa.espresso.repubblica.it,5
catholicherald.co.uk,4
nbcnews.com,4
catholicnews.com,4
washingtonpost.com,4
celam.org,4
aljazeera.com,4
consortiumnews.com,4
latimes.com,3
independent.co.uk,3
ncregister.com,3
nydailynews.com,3
npr.org,3
bloomberg.com,3
tikkun.org,2
books.google.com,2
noticias.terra.com.ar,2
cbc.ca,2
catholicculture.org,2
buzzfeed.com,2
sanlorenzo.com.ar,2
jesuiten.org,2
abcnews.com,2
wedvickofjarlsby.org,2
30giorni.it,2
time.com,2
aica.org,2
catholic.org,2
jesuit.org,2
firstthings.com,2
el-nacional.com,2
dailymail.co.uk,2
contenidos2.clarin.com,2
corriere.it,2
religionnews.com,2
pagina12.com.ar,2
buenosairesherald.com,2
nj.com,2
breitbart.com,2
patheos.com,2
ourdailythread.org,2
asianews.it,2
catholic-hierarchy.org,2
acronyms.thefreedictionary.com,1
healthland.time.com,1
washingtontimes.com,1
site.ebrary.com,1
catholicsun.org,1
derf.com.ar,1
freethinker.co.uk,1
theatlantic.com,1
facultades-smiguel.org.ar,1
lifenews.com,1
euronews.com,1
edant.clarin.com,1
temas.cl,1
maltatoday.com.mt,1
jornada.unam.mx,1
nationalreview.com,1
timesofindia.indiatimes.com,1
afp.com,1
lasegunda.com,1
wpolityce.pl,1
www2.fiu.edu,1
diario.latercera.com,1
jta.org,1
skynews.com.au,1
press.catholica.va,1
zenit.org,1
mercedesya.com.ar,1
clarin.com,1
losandes.com.ar,1
poy.time.com,1
inkunabeln.ub.uni-koeln.de,1
internacional.elpais.com,1
advocate.com,1
upi.com,1
nationalcatholicreporter.org,1
foxnews.com,1
26noticias.com.ar,1
ndl.go.jp,1
jpost.com,1
neurope.eu,1
lastampa.it,1
sanjosedeltalar.com.ar,1
usnews.com,1
americamagazine.org,1
augsburger-allgemeine.de,1
catholicmoraltheology.com,1
baltimorenewsjournal.com,1
pbs.org,1
foolishnesstotheworld.wordpress.com,1
ethikapolitika.org,1
britannica.com,1
deutschlandfunk.de,1
wdtprs.com,1
clrforum.org,1
dialnet.unirioja.es,1
catholicworldreport.com,1
articles.chicagotribune.com,1
aecrc.org,1
jmgarciaiii.blogspot.com,1
lineacapital.com.ar,1
cbsnews.com,1
newyorker.com,1
ft-ci.org,1
madridactual.es,1
risu.org.ua,1
dieter-philippi.de,1
sankt-georgen.de,1
huffingtonpost.co.uk,1
ellitoral.com,1
foxnewsinsider.com,1
thereseoflisieux.org,1
catholic-sf.org,1
csmonitor.com,1
Nelson Mandela Death,Citations
bbc.co.uk,17
nytimes.com,13
telegraph.co.uk,11
theguardian.com,10
iol.co.za,6
cnn.com,5
highbeam.com,5
independent.co.uk,5
anc.org.za,5
cbsnews.com,5
nelsonmandela.org,5
citypress.co.za,5
washingtonpost.com,4
gov.za,4
government.se,3
huffingtonpost.com,3
reuters.com,3
timesofindia.indiatimes.com,3
abcnews.com,3
latimes.com,3
globaltimes.cn,3
time.com,3
bdlive.co.za,3
timor-leste.gov.tl,3
npr.org,3
dx.doi.org,2
news.com.au,2
news24.com,2
channel24.co.za,2
bdnews24.com,2
straitstimes.com,2
enca.com,2
foxnews.com,2
spsrasd.info,2
dailymail.co.uk,2
allafrica.com,2
bloomberg.com,2
southafrica.info,2
insidemovies.ew.com,2
aljazeera.com,2
agangsa.org.za,1
news.biharprabha.com,1
georgewbush-whitehouse.archives.gov,1
thebackbencher.co.uk,1
mirror.co.uk,1
foreignaffairs.co.nz,1
articles.timesofindia.indiatimes.com,1
ghanaweb.com,1
latino.foxnews.com,1
ibtimes.com,1
jersey.isle-news.com,1
manager.co.th,1
m.theglobeandmail.com,1
news.naver.com,1
mediaclubsouthafrica.com,1
cosatu.org.za,1
france24.com,1
politico.com,1
oem.com.mx,1
info.gov.za,1
politicsweb.co.za,1
books.google.com,1
la-razon.com,1
anc.yahoo.com,1
citizen.co.za,1
b92.net,1
usatoday.com,1
century.guardian.co.uk,1
en.escambray.cu,1
standardmedia.co.ke,1
ndtv.com,1
antena3.ro,1
press.vatican.va,1
ci.org.za,1
peaceandjustice.org,1
edition.channel5belize.com,1
cbc.ca,1
garyplayer.com,1
bt.com.bn,1
nbcnews.com,1
english.ahram.org.eg,1
chicagotribune.com,1
afp.com,1
news.ninemsn.com.au,1
egyptindependent.com,1
go-jamaica.com,1
buenosairesherald.com,1
maravipost.com,1
sanews.gov.za,1
radio.gov.pk,1
albawaba.com,1
mandela.gov.za,1
epress.anu.edu.au,1
thepresidency.gov.za,1
kormany.hu,1
derechos.org,1
rivieratimes.com,1
nato.int,1
dalailama.com,1
sun.com.na,1
en.interfax.com.ua,1
whitehouse.gov,1
news.chinhphu.vn,1
yourgibraltartv.com,1
presidenri.go.id,1
casareal.es,1
topky.sk,1
voacambodia.com,1
samedia.uovs.ac.za,1
nobelprize.org,1
caribbean360.com,1
vlada.cz,1
newtimes.co.rw,1
americanlivewire.com,1
president.ir,1
upi.com,1
mg.co.za,1
nzherald.co.nz,1
ngopulse.org,1
pmnewsnigeria.com,1
cancilleria.gov.co,1
independent.ie,1
myhero.com,1
businessinsider.com,1
africa.upenn.edu,1
canadainternational.gc.ca,1
nmmu.ac.za,1
iaaf.org,1
news.xinhuanet.com,1
abc.es,1
thedailybeast.com,1
forbes.com,1
accesshollywood.com,1
aps.dz,1
regjeringen.no,1
irb.com,1
mfa.bg,1
gpg.gov.za,1
itv.com,1
itnsource.com,1
stuff.co.nz,1
thebody.com,1
appledaily.com.tw,1
politics.hu,1
rte.ie,1
books.google.co.za,1
history.com,1
1news.az,1
ft.com,1
thedailystar.net,1
presidencia.gob.mx,1
themoscownews.com,1
africaim.com,1
deredactie.be,1
postzambia.com,1
kaisernetwork.org,1
nehandaradio.com,1
ctvnews.ca,1
dispatch.co.za,1
eltiempo.com,1
top40.about.com,1
dailystar.com.lb,1
dailynews.gov.bw,1
pm.gc.ca,1
abdevilliersfan.com,1
ewn.co.za,1
youtube.com,1
hs.fi,1
news.sky.com,1
db.nelsonmandela.org,1
news.gov.hk,1
president-ksgov.net,1
commerce.uct.ac.za,1
primeminister.gov.gr,1
estadao.com.br,1
cphpost.dk,1
royal.gov.uk,1
rediff.com,1
theglobeandmail.com,1
latercera.com,1
en.gabonews.com,1
thecommonwealth.org,1
islandfm.com,1
firstpost.com,1
nydailynews.com,1
en.apa.az,1
english.president.go.kr,1
un.org,1
huffingtonpost.co.uk,1
imdb.com,1
english.yonhapnews.co.kr,1
inform.kz,1
observer.org.sz,1
presidencia.gob.do,1
collinsdictionary.com,1
bahamaspress.com,1
Boston Marathon Bombing,Citations
bostonglobe.com,47
cnn.com,32
nytimes.com,27
washingtonpost.com,20
cbsnews.com,20
nbcnews.com,19
abcnews.com,19
huffingtonpost.com,16
usatoday.com,14
theguardian.com,12
dailymail.co.uk,12
telegraph.co.uk,12
newyork.newsday.com,9
reuters.com,8
ap.org,8
latimes.com,8
nymag.com,8
bbc.co.uk,7
bloomberg.com,7
theatlanticwire.com,6
nydailynews.com,5
npr.org,5
timesofisrael.com,4
3news.co.nz,4
news.yahoo.com,4
blog.adl.org,4
fbi.gov,4
bostonherald.com,4
wcvb.com,4
aljazeera.com,4
politico.com,3
justice.gov,3
thestar.com,3
independent.co.uk,3
foxnews.com,3
businessinsider.com,3
thedailybeast.com,3
deadspin.com,3
slate.com,3
bu.edu,3
world.time.com,3
wggb.com,2
news.nationalpost.com,2
news.com.au,2
theatlantic.com,2
rollingstone.com,2
nypost.com,2
en.rian.ru,2
miamiherald.com,2
themoscowtimes.com,2
nation.time.com,2
communities.washingtontimes.com,2
newyorker.com,2
theglobeandmail.com,2
sports.yahoo.com,2
apnews.myway.com,2
baa.org,2
bostonmarathon.org,1
washingtontimes.com,1
forward.com,1
kavkaz.org.uk,1
sltrib.com,1
cnews.canoe.ca,1
ibtimes.com,1
thenewamerican.com,1
tfr.faa.gov,1
newsfeed.time.com,1
thesomervillenews.com,1
web.mit.edu,1
wgntv.com,1
forums.radioreference.com,1
www1.whdh.com,1
recordamerican.com,1
cjr.org,1
hk.apple.nextmedia.com,1
nhregister.com,1
c.o0bg.com,1
wwl.com,1
silive.com,1
masslive.com,1
necn.com,1
ndtv.com,1
google.org,1
wrcbtv.com,1
cbc.ca,1
news24.com,1
couriermail.com.au,1
gizmodo.com,1
wpri.com,1
blog.foreignpolicy.com,1
abc6onyourside.com,1
haaretz.com,1
abc6.com,1
law.cornell.edu,1
chechenpress.org,1
vancouversun.com,1
fox17online.com,1
brisbanetimes.com.au,1
newsday.com,1
articles.chicagotribune.com,1
ibtimes.co.uk,1
abc.net.au,1
espn.go.com,1
rferl.org,1
thetimes.co.uk,1
ottawacitizen.com,1
jewishjournal.com,1
newsleader.com,1
sbs.com.au,1
now.msn.com,1
tucsoncitizen.com,1
news.sky.com,1
wickedlocal.com,1
getonhand.com,1
spiked-online.com,1
talkleft.com,1
world.foxnews.mobi,1
myfoxboston.com,1
chambliss.senate.gov,1
cfnews13.com,1
kfor.com,1
lowellsun.com,1
thehill.com,1
kgw.com,1
usnews.com,1
rt.com,1
mediabistro.com,1
thejakartaglobe.com,1
weeklystandard.com,1
ft.com,1
tv.sohu.com,1
tabletmag.com,1
seattletimes.com,1
livewire.talkingpointsmemo.com,1
theepochtimes.com,1
redcross.org,1
trust.org,1
globalpost.com,1
nybooks.com,1
news.msn.com,1
mynorthwest.com,1
frontpagemag.com,1
bing.com,1
independentsentinel.com,1
oregonlive.com,1
mediaite.com,1
ncaa.com,1
live.boston.com,1
bso.org,1
heavy.com,1
economist.com,1
rawstory.com,1
marathonlawdenver.com,1
huffingtonpost.co.uk,1
csmonitor.com,1
ci.somerville.ma.us,1
Syrian Civil War,Citations
reuters.com,47
nytimes.com,38
bbc.co.uk,38
cnn.com,20
theguardian.com,20
dailystar.com.lb,17
aljazeera.com,16
lccsyria.org,13
english.alarabiya.net,10
telegraph.co.uk,10
news.yahoo.com,9
afp.com,8
globalpost.com,8
facebook.com,8
usatoday.com,7
foxnews.com,7
naharnet.com,7
washingtonpost.com,7
huffingtonpost.com,6
independent.co.uk,6
understandingwar.org,6
npr.org,6
syriahr.com,5
english.ahram.org.eg,5
al-monitor.com,5
france24.com,4
timesofisrael.com,4
ncr-iran.org,4
amnesty.org,4
jpost.com,4
hrw.org,4
trust.org,4
vdc-sy.org,4
syrianshuhada.com,4
books.google.com,3
ap.org,3
longwarjournal.org,3
washingtoninstitute.org,3
dx.doi.org,3
ndtv.com,3
latimes.com,3
presstv.ir,3
israelnationalnews.com,3
voanews.com,3
foreignpolicy.com,3
thehindu.com,3
worldbulletin.net,3
middle-east-online.com,3
mcclatchydc.com,3
hurriyetdailynews.com,3
world.time.com,3
ohchr.org,2
ynetnews.com,2
news24.com,2
news.xinhuanet.com,2
yalibnan.com,2
abcnews.com,2
haaretz.com,2
en.apa.az,2
themontrealreview.com,2
lorientlejour.com,2
gulfnews.com,2
rt.com,2
cbsnews.com,2
washingtonexaminer.com,2
timesofoman.com,2
channelnewsasia.com,2
nsnbc.me,2
mercurynews.com,2
alarabiya.net,2
english.al-akhbar.com,2
thenews.com.pk,2
csmonitor.com,2
economist.com,2
huffingtonpost.co.uk,2
washingtontimes.com,1
jstor.org,1
reason.com,1
zeenews.india.com,1
articles.timesofindia.indiatimes.com,1
businessinsider.com.au,1
arabtimesonline.com,1
ncfpeace.org,1
yemen-press.com,1
oslobodjenje.ba,1
aa.com.tr,1
irishtimes.com,1
report2009.amnesty.org,1
nowlebanon.com,1
ansa.it,1
journalistsresource.org,1
arabamericannews.com,1
icsr.info,1
jadaliyya.com,1
untribune.com,1
dnaindia.com,1
seattletimes.nwsource.com,1
jamestown.org,1
un.org,1
stowsentry.com,1
ctc.usma.edu,1
nileinternational.net,1
news.com.au,1
couriermail.com.au,1
timesofindia.indiatimes.com,1
nbcnews.com,1
smh.com.au,1
greenwichtime.com,1
chicagotribune.com,1
thesundaily.my,1
abna.ir,1
en.trend.az,1
3news.co.nz,1
lrb.co.uk,1
rightsidenews.com,1
vancouversun.com,1
thestar.com,1
centralasiaonline.com,1
internal-displacement.org,1
bangkokpost.com,1
todayszaman.com,1
rferl.org,1
ottawacitizen.com,1
harpers.org,1
brecorder.com,1
sbs.com.au,1
upi.com,1
globaltimes.cn,1
time.com,1
saudigazette.com.sa,1
businessinsider.com,1
news.ninemsn.com.au,1
thedailybeast.com,1
dailykos.com,1
abs-cbnnews.com,1
nwherald.com,1
womenundersiegeproject.org,1
dailymail.co.uk,1
itv.com,1
canada.com,1
stuff.co.nz,1
wired.com,1
wvrecord.com,1
pbs.org,1
arabtoday.net,1
blazingcatfur.blogspot.com,1
ft.com,1
crisisgroup.org,1
www6.arabnews.com,1
wpxi.com,1
joshualandis.com,1
yle.fi,1
ibtimes.co.in,1
lse.co.uk,1
news.kuwaittimes.net,1
motherjones.com,1
rts.rs,1
thejakartapost.com,1
nybooks.com,1
supportkurds.org,1
mideastweb.org,1
irusa.org,1
theepochtimes.com,1
state.gov,1
beta.dawn.com,1
coat.ncf.ca,1
nst.com.my,1
ansamed.ansa.it,1
news.findlaw.com,1
newyorker.com,1
bloomberg.com,1
bostonherald.com,1
metro.co.uk,1
dutchnews.nl,1
utsandiego.com,1
startribune.com,1
worldtribune.com,1
sana.sy,1
post-gazette.com,1
paper.standartnews.com,1
iamsyria.org,1
thestar.com.my,1
usaid.gov,1
terrorism-info.org.il,1
imemc.org,1
dawn.com,1
adn.com,1
jafrianews.com,1
astrium-geo.com,1
bakhtarnews.com.af,1
tnr.com,1
therepublic.com,1
novinite.com,1
cphpost.dk,1
chinadaily.com.cn,1
newstimes.com,1
US Government Shutdown,Citations
washingtonpost.com,33
nytimes.com,22
nbcnews.com,21
cnn.com,15
bloomberg.com,11
politico.com,9
latimes.com,8
thehill.com,8
bbc.co.uk,7
huffingtonpost.com,6
reuters.com,6
newsbusters.org,6
usatoday.com,5
businessinsider.com,5
nationaljournal.com,5
whitehouse.gov,4
beta.congress.gov,4
nydailynews.com,4
npr.org,4
washingtontimes.com,3
highbeam.com,3
abcnews.com,3
theatlanticwire.com,3
treasury.gov,3
freedomworks.org,2
blog.al.com,2
politifact.com,2
irs.gov,2
theguardian.com,2
foxnews.com,2
govtrack.us,2
gallup.com,2
rules.house.gov,2
cbsnews.com,2
ft.com,2
gao.gov,2
thomas.loc.gov,2
startribune.com,2
news.yahoo.com,2
www2.ed.gov,2
people-press.org,1
nps.gov,1
mrc.org,1
insurancejournal.com,1
wbir.com,1
ibtimes.com,1
thenews.com.mx,1
theatlantic.com,1
mediamatters.org,1
courant.com,1
ap.org,1
paymentdates.com,1
bangordailynews.com,1
hcpress.com,1
heritageaction.com,1
salon.com,1
clerk.house.gov,1
earthspan.org,1
austinchronicle.com,1
nationalreview.com,1
michiganradio.org,1
chicagotribune.com,1
afp.com,1
mywesttexas.com,1
timesrecordnews.com,1
lubbockonline.com,1
dcsafe.org,1
swampland.time.com,1
houstonchronicle.com,1
outsidethebeltway.com,1
politicususa.com,1
pottsmerc.com,1
citizen-times.com,1
abc.net.au,1
thenation.com,1
independent.co.uk,1
news.com.au,1
kfbb.com,1
langerresearch.com,1
forbes.com,1
senate.gov,1
thinkprogress.org,1
au.ibtimes.com,1
theweek.com,1
japantoday.com,1
c-spanvideo.org,1
pennlive.com,1
news.xinhuanet.com,1
